"indef_um","indef_m","lemma","lemmafreq","syllable_count","analysis","pos","cv_skeleton","base","stem","freq_m","freq_um","verb_transitive","lemma2","verb_stem_varies","log_freq_m","log_freq_um","log_freq_lemma","odds_m","log_odds_m","verb_odik","verb_lik","verb_zik","c.log_freq_lemma","outlier"
"álmosodok","álmosodom","álmosodik",63,4,"VERB<PERS<1>>","VERB","vccvcvcvc","álmosodo","álmosod",5,1,FALSE,"álmosod","FALSE",1.6094379124341,0,4.14313472639153,5,1.6094379124341,"TRUE","FALSE","FALSE",-3.25351088965978,FALSE
"alszok","alszom","alszik",46016,2,"VERB<PERS<1>>","VERB","vccvc","alszo","alsz",2787,478,TRUE,"alsz","FALSE",7.93272102748195,6.16961073249146,10.7367444410807,5.83054393305439,1.76311029499049,"FALSE","FALSE","FALSE",3.34009882502941,FALSE
"aluszok","aluszom","alszik",46016,3,"VERB<PERS<1>>","VERB","vcvcvc","aluszo","alusz",5,2,TRUE,"alsz","FALSE",1.6094379124341,0.693147180559945,10.7367444410807,2.5,0.916290731874155,"FALSE","FALSE","FALSE",3.34009882502941,FALSE
"ámuldozok","ámuldozom","ámuldozik",284,4,"VERB<PERS<1>>","VERB","vcvccvcvc","ámuldozo","ámuldoz",6,4,FALSE,"ámuldoz","FALSE",1.79175946922805,1.38629436111989,5.64897423816121,1.5,0.405465108108164,"FALSE","FALSE","TRUE",-1.7476713778901,FALSE
"anyagozok","anyagozom","anyagozik",113,4,"VERB<PERS<1>>","VERB","vcvcvcvc","anyagozo","anyagoz",3,4,FALSE,"anyagoz","FALSE",1.09861228866811,1.38629436111989,4.72738781871234,0.75,-0.287682072451781,"FALSE","FALSE","TRUE",-2.66925779733897,FALSE
"áradozok","áradozom","áradozik",521,4,"VERB<PERS<1>>","VERB","vcvcvcvc","áradozo","áradoz",3,5,FALSE,"áradoz","FALSE",1.09861228866811,1.6094379124341,6.25575004175337,0.6,-0.510825623765991,"FALSE","FALSE","TRUE",-1.14089557429794,FALSE
"ásítozok","ásítozom","ásítozik",399,4,"VERB<PERS<1>>","VERB","vcvcvcvc","ásítozo","ásítoz",4,4,FALSE,"ásítoz","FALSE",1.38629436111989,1.38629436111989,5.98896141688986,1,0,"FALSE","FALSE","TRUE",-1.40768419916145,FALSE
"áskálódok","áskálódom","áskálódik",405,4,"VERB<PERS<1>>","VERB","vccvcvcvc","áskálódo","áskálód",5,5,FALSE,"áskálód","FALSE",1.6094379124341,1.6094379124341,6.00388706710654,1,0,"TRUE","FALSE","FALSE",-1.39275854894477,FALSE
"asszimilálódok","asszimilálódom","asszimilálódik",814,6,"VERB<PERS<1>>","VERB","vccvcvcvcvcvc","asszimilálódo","asszimilálód",6,1,FALSE,"asszimilálód","FALSE",1.79175946922805,0,6.70196036600254,6,1.79175946922805,"TRUE","FALSE","FALSE",-0.694685250048771,FALSE
"átdolgozok","átdolgozom","átdolgozik",1750,4,"VERB<PERS<1>>","VERB","vccvccvcvc","átdolgozo","átdolgoz",5,1,TRUE,"átdolgoz","TRUE",1.6094379124341,0,7.46737106691756,5,1.6094379124341,"FALSE","FALSE","TRUE",0.0707254508662487,FALSE
"átkozódok","átkozódom","átkozódik",589,4,"VERB<PERS<1>>","VERB","vccvcvcvc","átkozódo","átkozód",8,2,FALSE,"átkozód","FALSE",2.07944154167984,0.693147180559945,6.37842618365159,4,1.38629436111989,"TRUE","FALSE","FALSE",-1.01821943239972,FALSE
"átmászok","átmászom","átmászik",700,3,"VERB<PERS<1>>","VERB","vccvcvc","átmászo","átmász",5,19,FALSE,"átmász","FALSE",1.6094379124341,2.94443897916644,6.5510803350434,0.263157894736842,-1.33500106673234,"FALSE","FALSE","FALSE",-0.845565281007906,FALSE
"átöltözök","átöltözöm","átöltözik",898,4,"VERB<PERS<1>>","VERB","vcvccvcvc","átöltözö","átöltöz",41,4,FALSE,"átöltöz","FALSE",3.71357206670431,1.38629436111989,6.8001700683022,10.25,2.32727770558442,"FALSE","FALSE","TRUE",-0.596475547749111,FALSE
"átsiklok","átsiklom","átsiklik",618,3,"VERB<PERS<1>>","VERB","vccvccvc","átsiklo","átsikl",6,11,FALSE,"átsikl","FALSE",1.79175946922805,2.39789527279837,6.42648845745769,0.545454545454545,-0.606135803570316,"FALSE","TRUE","FALSE",-0.97015715859362,FALSE
"átugrok","átugrom","átugrik",1721,3,"VERB<PERS<1>>","VERB","vcvccvc","átugro","átugr",7,18,TRUE,"átugr","FALSE",1.94591014905531,2.89037175789616,7.45066079621154,0.388888888888889,-0.944461608840851,"FALSE","FALSE","FALSE",0.0540151801602287,FALSE
"átúszok","átúszom","átúszik",1083,3,"VERB<PERS<1>>","VERB","vcvcvc","átúszo","átúsz",11,2,FALSE,"átúsz","FALSE",2.39789527279837,0.693147180559945,6.98749024700099,5.5,1.70474809223843,"FALSE","FALSE","FALSE",-0.40915536905032,FALSE
"átutazok","átutazom","átutazik",467,4,"VERB<PERS<1>>","VERB","vcvcvcvc","átutazo","átutaz",8,3,FALSE,"átutaz","FALSE",2.07944154167984,1.09861228866811,6.1463292576689,2.66666666666667,0.980829253011726,"FALSE","FALSE","TRUE",-1.25031635838241,FALSE
"átváltozok","átváltozom","átváltozik",1054,4,"VERB<PERS<1>>","VERB","vccvccvcvc","átváltozo","átváltoz",15,1,FALSE,"átváltoz","FALSE",2.70805020110221,0,6.96034772910131,15,2.70805020110221,"FALSE","FALSE","TRUE",-0.436297886950003,FALSE
"autózok","autózom","autózik",3175,4,"VERB<PERS<1>>","VERB","vvcvcvc","autózo","autóz",83,12,FALSE,"autóz","FALSE",4.4188406077966,2.484906649788,8.06306291132679,6.91666666666667,1.9339339580086,"FALSE","FALSE","TRUE",0.666417295275481,FALSE
"avatkozok","avatkozom","avatkozik",3662,4,"VERB<PERS<1>>","VERB","vcvccvcvc","avatkozo","avatkoz",61,8,FALSE,"avatkoz","FALSE",4.11087386417331,2.07944154167984,8.20576472523446,7.625,2.03143232249348,"FALSE","FALSE","TRUE",0.809119109183145,FALSE
"ázok","ázom","ázik",1935,2,"VERB<PERS<1>>","VERB","vcvc","ázo","áz",9,18,FALSE,"áz","FALSE",2.19722457733622,2.89037175789616,7.56786260546388,0.5,-0.693147180559945,"FALSE","FALSE","TRUE",0.171216989412572,FALSE
"babázok","babázom","babázik",309,3,"VERB<PERS<1>>","VERB","cvcvcvc","babázo","babáz",4,4,FALSE,"babáz","FALSE",1.38629436111989,1.38629436111989,5.73334127689775,1,0,"FALSE","FALSE","TRUE",-1.66330433915356,FALSE
"bagózok","bagózom","bagózik",240,3,"VERB<PERS<1>>","VERB","cvcvcvc","bagózo","bagóz",3,6,FALSE,"bagóz","FALSE",1.09861228866811,1.79175946922805,5.48063892334199,0.5,-0.693147180559945,"FALSE","FALSE","TRUE",-1.91600669270932,FALSE
"bajlódok","bajlódom","bajlódik",1745,3,"VERB<PERS<1>>","VERB","cvccvcvc","bajlódo","bajlód",47,9,FALSE,"bajlód","FALSE",3.85014760171006,2.19722457733622,7.46450983463653,5.22222222222222,1.65292302437384,"TRUE","FALSE","FALSE",0.0678642185852167,FALSE
"bakizok","bakizom","bakizik",180,3,"VERB<PERS<1>>","VERB","cvcvcvc","bakizo","bakiz",3,3,FALSE,"bakiz","FALSE",1.09861228866811,1.09861228866811,5.19295685089021,1,0,"FALSE","FALSE","TRUE",-2.2036887651611,FALSE
"balhézok","balhézom","balhézik",286,3,"VERB<PERS<1>>","VERB","cvccvcvc","balhézo","balhéz",3,4,FALSE,"balhéz","FALSE",1.09861228866811,1.38629436111989,5.65599181081985,0.75,-0.287682072451781,"FALSE","FALSE","TRUE",-1.74065380523146,FALSE
"bámészkodok","bámészkodom","bámészkodik",812,4,"VERB<PERS<1>>","VERB","cvcvccvcvc","bámészkodo","bámészkod",8,6,FALSE,"bámészkod","FALSE",2.07944154167984,1.79175946922805,6.69950034016168,1.33333333333333,0.287682072451781,"TRUE","FALSE","FALSE",-0.697145275889633,FALSE
"bánkódok","bánkódom","bánkódik",1366,3,"VERB<PERS<1>>","VERB","cvccvcvc","bánkódo","bánkód",83,10,FALSE,"bánkód","FALSE",4.4188406077966,2.30258509299405,7.21964204013074,8.3,2.11625551480255,"TRUE","FALSE","FALSE",-0.177003575920575,FALSE
"barátkozok","barátkozom","barátkozik",3311,4,"VERB<PERS<1>>","VERB","cvcvccvcvc","barátkozo","barátkoz",148,6,FALSE,"barátkoz","FALSE",4.99721227376411,1.79175946922805,8.10500553754725,24.6666666666667,3.20545280453606,"FALSE","FALSE","TRUE",0.708359921495935,FALSE
"baszok","baszom","baszik",2795,2,"VERB<PERS<1>>","VERB","cvcvc","baszo","basz",24,40,TRUE,"basz","FALSE",3.17805383034795,3.68887945411394,7.9355873855892,0.6,-0.510825623765991,"FALSE","FALSE","FALSE",0.538941769537889,FALSE
"bátorkodok","bátorkodom","bátorkodik",766,4,"VERB<PERS<1>>","VERB","cvcvccvcvc","bátorkodo","bátorkod",235,8,FALSE,"bátorkod","FALSE",5.45958551414416,2.07944154167984,6.64118216974059,29.375,3.38014397246432,"TRUE","FALSE","FALSE",-0.75546344631072,FALSE
"beavatkozok","beavatkozom","beavatkozik",4647,5,"VERB<PERS<1>>","VERB","cvvcvccvcvc","beavatkozo","beavatkoz",10,1,FALSE,"beavatkoz","FALSE",2.30258509299405,0,8.44397712908498,10,2.30258509299405,"FALSE","FALSE","TRUE",1.04733151303367,FALSE
"becsapódok","becsapódom","becsapódik",892,4,"VERB<PERS<1>>","VERB","cvcvcvcvc","becsapódo","becsapód",5,1,FALSE,"becsapód","FALSE",1.6094379124341,0,6.79346613258001,5,1.6094379124341,"TRUE","FALSE","FALSE",-0.603179483471301,FALSE
"becsavarodok","becsavarodom","becsavarodik",147,5,"VERB<PERS<1>>","VERB","cvcvcvcvcvc","becsavarodo","becsavarod",4,5,FALSE,"becsavarod","FALSE",1.38629436111989,1.6094379124341,4.99043258677874,0.8,-0.22314355131421,"TRUE","FALSE","FALSE",-2.40621302927257,FALSE
"becsúszok","becsúszom","becsúszik",1220,3,"VERB<PERS<1>>","VERB","cvcvcvc","becsúszo","becsúsz",1,16,FALSE,"becsúsz","FALSE",0,2.77258872223978,7.1066061377273,0.0625,-2.77258872223978,"FALSE","FALSE","FALSE",-0.290039478324008,FALSE
"bedolgozok","bedolgozom","bedolgozik",608,4,"VERB<PERS<1>>","VERB","cvcvccvcvc","bedolgozo","bedolgoz",5,6,FALSE,"bedolgoz","FALSE",1.6094379124341,1.79175946922805,6.41017488196617,0.833333333333333,-0.182321556793955,"FALSE","FALSE","TRUE",-0.986470734085144,FALSE
"befekszek","befekszem","befekszik",525,3,"VERB<PERS<1>>","VERB","cvcvccvc","befeksze","befeksz",47,1,FALSE,"befeksz","FALSE",3.85014760171006,0,6.26339826259162,47,3.85014760171006,"FALSE","FALSE","FALSE",-1.13324735345969,FALSE
"beférkőzök","beférkőzöm","beférkőzik",583,4,"VERB<PERS<1>>","VERB","cvcvccvcvc","beférkőzö","beférkőz",20,2,FALSE,"beférkőz","FALSE",2.99573227355399,0.693147180559945,6.36818718635049,10,2.30258509299405,"FALSE","FALSE","TRUE",-1.02845842970082,FALSE
"begubózok","begubózom","begubózik",169,4,"VERB<PERS<1>>","VERB","cvcvcvcvc","begubózo","begubóz",1,6,FALSE,"begubóz","FALSE",0,1.79175946922805,5.12989871492307,0.166666666666667,-1.79175946922805,"FALSE","FALSE","TRUE",-2.26674690112824,FALSE
"beilleszkedek","beilleszkedem","beilleszkedik",3148,5,"VERB<PERS<1>>","VERB","cvvccvccvcvc","beilleszkede","beilleszked",6,2,FALSE,"beilleszked","FALSE",1.79175946922805,0.693147180559945,8.05452260953729,3,1.09861228866811,"FALSE","FALSE","FALSE",0.657876993485983,FALSE
"beiratkozok","beiratkozom","beiratkozik",5492,5,"VERB<PERS<1>>","VERB","cvvcvccvcvc","beiratkozo","beiratkoz",34,4,FALSE,"beiratkoz","FALSE",3.52636052461616,1.38629436111989,8.61104776688786,8.5,2.14006616349627,"FALSE","FALSE","TRUE",1.21440215083655,FALSE
"bejelentkezek","bejelentkezem","bejelentkezik",41089,5,"VERB<PERS<1>>","VERB","cvcvcvcccvcvc","bejelentkeze","bejelentkez",30,31,FALSE,"bejelentkez","FALSE",3.40119738166216,3.43398720448515,10.6234957247597,0.967741935483871,-0.0327898228229908,"FALSE","FALSE","TRUE",3.22685010870839,FALSE
"bekapcsolódok","bekapcsolódom","bekapcsolódik",9998,5,"VERB<PERS<1>>","VERB","cvcvccvcvcvc","bekapcsolódo","bekapcsolód",26,13,FALSE,"bekapcsolód","FALSE",3.25809653802148,2.56494935746154,9.21014035197352,2,0.693147180559945,"TRUE","FALSE","FALSE",1.81349473592221,FALSE
"bekéredzkedek","bekéredzkedem","bekéredzkedik",193,5,"VERB<PERS<1>>","VERB","cvcvcvcccvcvc","bekéredzkede","bekéredzked",5,3,FALSE,"bekéredzked","FALSE",1.6094379124341,1.09861228866811,5.26269018890489,1.66666666666667,0.510825623765991,"FALSE","FALSE","FALSE",-2.13395542714643,FALSE
"beköltözök","beköltözöm","beköltözik",5058,4,"VERB<PERS<1>>","VERB","cvcvccvcvc","beköltözö","beköltöz",21,15,FALSE,"beköltöz","FALSE",3.04452243772342,2.70805020110221,8.52872642722991,1.4,0.336472236621213,"FALSE","FALSE","TRUE",1.1320808111786,FALSE
"beleavatkozok","beleavatkozom","beleavatkozik",996,6,"VERB<PERS<1>>","VERB","cvcvvcvccvcvc","beleavatkozo","beleavatkoz",6,1,FALSE,"beleavatkoz","FALSE",1.79175946922805,0,6.9037472575846,6,1.79175946922805,"FALSE","FALSE","TRUE",-0.492898358466713,FALSE
"belebonyolódok","belebonyolódom","belebonyolódik",606,6,"VERB<PERS<1>>","VERB","cvcvcvcvcvcvc","belebonyolódo","belebonyolód",22,3,FALSE,"belebonyolód","FALSE",3.09104245335832,1.09861228866811,6.40687998606931,7.33333333333333,1.99243016469021,"TRUE","FALSE","FALSE",-0.989765629981997,FALSE
"belebotlok","belebotlom","belebotlik",533,4,"VERB<PERS<1>>","VERB","cvcvcvccvc","belebotlo","belebotl",17,21,FALSE,"belebotl","FALSE",2.83321334405622,3.04452243772342,6.27852142416584,0.80952380952381,-0.211309093667207,"FALSE","TRUE","FALSE",-1.11812419188547,FALSE
"belebukok","belebukom","belebukik",814,4,"VERB<PERS<1>>","VERB","cvcvcvcvc","belebuko","belebuk",1,5,FALSE,"belebuk","FALSE",0,1.6094379124341,6.70196036600254,0.2,-1.6094379124341,"FALSE","FALSE","FALSE",-0.694685250048771,FALSE
"belecsúszok","belecsúszom","belecsúszik",296,4,"VERB<PERS<1>>","VERB","cvcvcvcvc","belecsúszo","belecsúsz",5,1,FALSE,"belecsúsz","FALSE",1.6094379124341,0,5.69035945432406,5,1.6094379124341,"FALSE","FALSE","FALSE",-1.70628616172725,FALSE
"beledöglök","beledöglöm","beledöglik",213,4,"VERB<PERS<1>>","VERB","cvcvcvccvc","beledöglö","beledögl",6,38,FALSE,"beledögl","FALSE",1.79175946922805,3.63758615972639,5.36129216570943,0.157894736842105,-1.84582669049833,"FALSE","TRUE","FALSE",-2.03535345034189,FALSE
"beleesek","beleesem","beleesik",2568,4,"VERB<PERS<1>>","VERB","cvcvvcvc","beleese","belees",4,26,FALSE,"belees","FALSE",1.38629436111989,3.25809653802148,7.85088266480985,0.153846153846154,-1.87180217690159,"FALSE","FALSE","FALSE",0.454237048758541,FALSE
"belefeledkezek","belefeledkezem","belefeledkezik",792,6,"VERB<PERS<1>>","VERB","cvcvcvcvccvcvc","belefeledkeze","belefeledkez",9,2,FALSE,"belefeledkez","FALSE",2.19722457733622,0.693147180559945,6.67456139181443,4.5,1.50407739677627,"FALSE","FALSE","TRUE",-0.722084224236885,FALSE
"belekapaszkodok","belekapaszkodom","belekapaszkodik",996,6,"VERB<PERS<1>>","VERB","cvcvcvcvccvcvc","belekapaszkodo","belekapaszkod",22,10,FALSE,"belekapaszkod","FALSE",3.09104245335832,2.30258509299405,6.9037472575846,2.2,0.78845736036427,"TRUE","FALSE","FALSE",-0.492898358466713,FALSE
"belekeveredek","belekeveredem","belekeveredik",981,6,"VERB<PERS<1>>","VERB","cvcvcvcvcvcvc","belekeverede","belekevered",5,4,FALSE,"belekevered","FALSE",1.6094379124341,1.38629436111989,6.88857245956536,1.25,0.22314355131421,"FALSE","FALSE","FALSE",-0.508073156485947,FALSE
"belekontárkodok","belekontárkodom","belekontárkodik",139,6,"VERB<PERS<1>>","VERB","cvcvcvccvccvcvc","belekontárkodo","belekontárkod",5,9,TRUE,"belekontárkod","FALSE",1.6094379124341,2.19722457733622,4.93447393313069,0.555555555555556,-0.587786664902119,"TRUE","FALSE","FALSE",-2.46217168292062,FALSE
"belemászok","belemászom","belemászik",371,4,"VERB<PERS<1>>","VERB","cvcvcvcvc","belemászo","belemász",2,13,FALSE,"belemász","FALSE",0.693147180559945,2.56494935746154,5.91620206260743,0.153846153846154,-1.87180217690159,"FALSE","FALSE","FALSE",-1.48044355344388,FALSE
"belemelegszek","belemelegszem","belemelegedik",324,5,"VERB<PERS<1>>","VERB","cvcvcvcvccvc","belemelegsze","belemelegsz",8,1,FALSE,"belemeleged","FALSE",2.07944154167984,0,5.78074351579233,8,2.07944154167984,"FALSE","FALSE","FALSE",-1.61590210025898,FALSE
"belenyugszok","belenyugszom","belenyugszik",1837,4,"VERB<PERS<1>>","VERB","cvcvcvccvc","belenyugszo","belenyugsz",57,1,FALSE,"belenyugsz","FALSE",4.04305126783455,0,7.51588908521513,57,4.04305126783455,"FALSE","FALSE","FALSE",0.119243469163814,FALSE
"belepofázok","belepofázom","belepofázik",77,5,"VERB<PERS<1>>","VERB","cvcvcvcvcvc","belepofázo","belepofáz",2,12,FALSE,"belepofáz","FALSE",0.693147180559945,2.484906649788,4.34380542185368,0.166666666666667,-1.79175946922805,"FALSE","FALSE","TRUE",-3.05284019419763,FALSE
"beletartozok","beletartozom","beletartozik",4516,5,"VERB<PERS<1>>","VERB","cvcvcvccvcvc","beletartozo","beletartoz",19,1,FALSE,"beletartoz","FALSE",2.94443897916644,0,8.41538192526955,19,2.94443897916644,"FALSE","FALSE","TRUE",1.01873630921824,FALSE
"beletörődök","beletörődöm","beletörődik",2456,5,"VERB<PERS<1>>","VERB","cvcvcvcvcvc","beletörődö","beletörőd",25,30,FALSE,"beletörőd","FALSE",3.2188758248682,3.40119738166216,7.80628928926703,0.833333333333333,-0.182321556793955,"TRUE","FALSE","FALSE",0.409643673215722,FALSE
"beleütközök","beleütközöm","beleütközik",881,5,"VERB<PERS<1>>","VERB","cvcvvccvcvc","beleütközö","beleütköz",23,1,FALSE,"beleütköz","FALSE",3.13549421592915,0,6.78105762593618,23,3.13549421592915,"FALSE","FALSE","TRUE",-0.615587990115131,FALSE
"belezavarodok","belezavarodom","belezavarodik",217,6,"VERB<PERS<1>>","VERB","cvcvcvcvcvcvc","belezavarodo","belezavarod",6,27,FALSE,"belezavarod","FALSE",1.79175946922805,3.29583686600433,5.37989735354046,0.222222222222222,-1.50407739677627,"TRUE","FALSE","FALSE",-2.01674826251085,FALSE
"bemászok","bemászom","bemászik",949,3,"VERB<PERS<1>>","VERB","cvcvcvc","bemászo","bemász",6,21,FALSE,"bemász","FALSE",1.79175946922805,3.04452243772342,6.85540879860993,0.285714285714286,-1.25276296849537,"FALSE","FALSE","FALSE",-0.541236817441383,FALSE
"bemutatkozok","bemutatkozom","bemutatkozik",12477,5,"VERB<PERS<1>>","VERB","cvcvcvccvcvc","bemutatkozo","bemutatkoz",136,2,FALSE,"bemutatkoz","FALSE",4.91265488573605,0.693147180559945,9.43164222841102,68,4.21950770517611,"FALSE","FALSE","TRUE",2.03499661235971,FALSE
"bénázok","bénázom","bénázik",424,3,"VERB<PERS<1>>","VERB","cvcvcvc","bénázo","bénáz",13,27,TRUE,"bénáz","FALSE",2.56494935746154,3.29583686600433,6.04973345523196,0.481481481481481,-0.730887508542792,"FALSE","FALSE","TRUE",-1.34691216081935,FALSE
"beöltözök","beöltözöm","beöltözik",865,4,"VERB<PERS<1>>","VERB","cvvccvcvc","beöltözö","beöltöz",33,12,FALSE,"beöltöz","FALSE",3.49650756146648,2.484906649788,6.76272950693188,2.75,1.01160091167848,"FALSE","FALSE","TRUE",-0.633916109119432,FALSE
"berendezkedek","berendezkedem","berendezkedik",5478,5,"VERB<PERS<1>>","VERB","cvcvccvccvcvc","berendezkede","berendezked",2,5,FALSE,"berendezked","FALSE",0.693147180559945,1.6094379124341,8.60849534982302,0.4,-0.916290731874155,"FALSE","FALSE","FALSE",1.21184973377171,FALSE
"berzenkedek","berzenkedem","berzenkedik",519,4,"VERB<PERS<1>>","VERB","cvccvccvcvc","berzenkede","berzenked",16,7,FALSE,"berzenked","FALSE",2.77258872223978,1.94591014905531,6.25190388316589,2.28571428571429,0.826678573184468,"FALSE","FALSE","FALSE",-1.14474173288542,FALSE
"betegeskedek","betegeskedem","betegeskedik",1128,5,"VERB<PERS<1>>","VERB","cvcvcvccvcvc","betegeskede","betegesked",7,2,FALSE,"betegesked","FALSE",1.94591014905531,0.693147180559945,7.028201432058,3.5,1.25276296849537,"FALSE","FALSE","FALSE",-0.368444183993306,FALSE
"beugrok","beugrom","beugrik",2835,3,"VERB<PERS<1>>","VERB","cvvccvc","beugro","beugr",10,59,FALSE,"beugr","FALSE",2.30258509299405,4.07753744390572,7.94979721616185,0.169491525423729,-1.77495235091167,"FALSE","FALSE","FALSE",0.553151600110541,FALSE
"beúszok","beúszom","beúszik",368,3,"VERB<PERS<1>>","VERB","cvvcvc","beúszo","beúsz",8,6,FALSE,"beúsz","FALSE",2.07944154167984,1.79175946922805,5.90808293816893,1.33333333333333,0.287682072451781,"FALSE","FALSE","FALSE",-1.48856267788238,FALSE
